episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
58,-38.80000000000001,100,False,True,False,0,"(3, 1)",False,False,True,False,False,False,False,False
59,-36.35000000000003,100,False,True,False,0,"(5, 2)",False,False,False,False,False,False,False,False
60,-29.800000000000022,100,False,True,False,0,"(5, 5)",True,True,False,True,False,False,False,False
61,-32.40000000000003,100,False,True,False,0,"(5, 3)",False,False,False,True,False,False,False,False
62,-28.050000000000026,100,False,True,False,0,"(3, 4)",False,False,True,True,False,False,False,False
63,-31.050000000000026,100,False,True,False,0,"(5, 2)",False,False,False,True,False,False,False,False
64,-38.94999999999999,100,False,True,False,0,"(1, 2)",False,False,False,False,False,False,False,False
65,-30.650000000000034,100,False,True,False,0,"(6, 1)",False,False,False,True,False,False,False,False
66,-34.800000000000026,100,False,True,False,0,"(5, 1)",False,False,False,False,False,False,False,False
67,-23.50000000000003,100,False,True,False,0,"(5, 3)",True,True,True,True,False,False,False,False
68,-38.45,100,False,True,False,0,"(5, 2)",False,False,False,False,False,False,False,False
69,-30.100000000000026,100,False,True,False,0,"(2, 4)",True,False,False,False,False,False,False,False
70,-40.64999999999999,100,False,True,False,0,"(4, 1)",False,False,False,False,False,False,False,False
71,-25.750000000000025,100,False,True,False,0,"(6, 1)",False,False,True,True,False,False,False,False
72,-29.85000000000002,100,False,True,False,0,"(3, 2)",True,False,True,False,False,False,False,False
73,-28.950000000000024,100,False,True,False,0,"(6, 5)",True,True,False,False,False,False,False,False
74,-32.60000000000002,100,False,True,False,0,"(3, 1)",False,False,True,False,False,False,False,False
75,-35.05000000000002,100,False,True,False,0,"(5, 6)",True,False,False,False,False,False,False,False
76,-27.400000000000034,100,False,True,False,0,"(6, 6)",True,False,False,False,False,False,False,False
77,-35.050000000000026,100,False,True,False,0,"(1, 2)",True,False,False,False,False,False,False,False
78,-29.850000000000026,100,False,True,False,0,"(3, 6)",False,False,False,False,False,False,False,False
79,-25.55000000000002,100,False,True,False,0,"(3, 4)",True,True,True,False,False,False,False,False
80,-35.75000000000002,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
81,-29.00000000000003,100,False,True,False,0,"(5, 3)",False,False,False,False,False,False,False,False
82,-31.400000000000016,100,False,True,False,0,"(4, 6)",True,True,True,False,False,False,False,False
83,-28.55000000000001,100,False,True,False,0,"(2, 1)",False,False,True,True,False,False,False,False
84,-34.60000000000002,100,False,True,False,0,"(1, 5)",True,False,False,False,False,False,False,False
85,-35.50000000000002,100,False,True,False,0,"(6, 2)",False,False,False,False,False,False,False,False
86,-30.100000000000026,100,False,True,False,0,"(2, 6)",False,False,False,True,False,False,False,False
