episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
198,15.900000000000002,82,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.37251769488706843
199,22.499999999999993,40,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3706551064126331
200,-13.399999999999988,100,False,True,False,0,"(1, 3)",True,True,False,True,False,False,False,False,0.36880183088056995
201,-12.499999999999993,100,False,True,False,0,"(1, 3)",True,True,False,True,False,False,False,False,0.3669578217261671
202,-12.049999999999994,100,False,True,False,0,"(3, 4)",True,True,False,True,False,False,False,False,0.36512303261753626
203,14.600000000000003,90,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3632974174544486
204,22.3,35,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3614809303671764
205,20.19999999999999,50,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3596735257153405
206,-5.6,100,False,True,False,1,"(2, 4)",True,True,True,True,True,False,False,False,0.3578751580867638
207,11.999999999999996,43,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.35608578229633
208,21.199999999999996,48,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3543053533848483
209,12.600000000000001,55,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.35253382661792404
210,-11.149999999999993,100,False,True,False,0,"(1, 2)",True,True,False,True,False,False,False,False,0.3507711574848344
211,-12.949999999999994,100,False,True,False,0,"(5, 6)",True,True,False,True,False,False,False,False,0.34901730169741024
212,21.499999999999996,42,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3472722151889232
213,-9.549999999999999,100,False,True,False,0,"(6, 3)",True,True,True,True,False,False,False,False,0.3455358541129786
214,20.499999999999996,44,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3438081748424137
215,-13.399999999999995,100,False,True,False,0,"(1, 1)",True,True,False,True,False,False,False,False,0.3420891339682016
216,23.39999999999999,40,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3403786882983606
217,22.999999999999993,39,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3386767948568688
